0 head head head -1 -1 -1.000000 500801802 -1185236560
500801802 wqq wwwww ret 0 4 9.300000 1559614248 -1778483440
1559614248 wqq wwwww ret 1 4 9.300000 -1909628157 381379206
-1909628157 wqq wwwww ret 2 4 9.300000 -477547956 128741032
-477547956 wqq wwwww ret 3 4 9.300000 -1438117416 1993231896
-1438117416 wqq wwwww ret 4 4 9.300000 -29068010 -103967536
-29068010 wqq wwwww ret 5 4 9.300000 1277484763 1747409998
1277484763 wqq wwwww ret 6 4 9.300000 1917404034 -928347928
1917404034 wqq wwwww ret 7 4 9.300000 788597804 1423300040
788597804 wqq wwwww ret 8 4 9.300000 1263499301 -1824926062
1263499301 wqq wwwww ret 9 4 9.300000 512653272 -1208756608
